mode,b_tokens,step,gap_ms
disaggregated-process,4096,50,14.676803000000405
disaggregated-process,4096,51,14.288086999997063
disaggregated-process,4096,52,14.559507000001304
disaggregated-process,4096,53,14.51548100000366
disaggregated-process,4096,54,14.52244599999375
disaggregated-process,4096,55,14.524638000004586
disaggregated-process,4096,56,14.311661000000697
disaggregated-process,4096,57,14.442830999996659
disaggregated-process,4096,58,14.54313400000018
disaggregated-process,4096,59,14.757594999998958
disaggregated-process,4096,60,14.771675000005757
disaggregated-process,4096,61,16.6389739999957
disaggregated-process,4096,62,14.73460100000068
disaggregated-process,4096,63,14.566772000002004
disaggregated-process,4096,64,14.622066000001155
disaggregated-process,4096,65,14.593366999996249
disaggregated-process,4096,66,14.623030000002757
disaggregated-process,4096,67,14.942382000000975
disaggregated-process,4096,68,14.78927999999513
disaggregated-process,4096,69,14.560957000000485
disaggregated-process,4096,70,14.527274000002421
disaggregated-process,4096,71,14.71871199999697
disaggregated-process,4096,72,14.611227000003169
disaggregated-process,4096,73,14.577746000000502
disaggregated-process,4096,74,14.713532000001805
disaggregated-process,4096,75,14.431660999996154
disaggregated-process,4096,76,18.195675000001188
disaggregated-process,4096,77,20.53020799999672
disaggregated-process,4096,78,20.12544700000518
disaggregated-process,4096,79,21.728923999994265
disaggregated-process,4096,80,22.63215400000007
disaggregated-process,4096,81,20.07926900000001
disaggregated-process,4096,82,15.026432000006196
disaggregated-process,4096,83,14.404543999994246
disaggregated-process,4096,84,14.332090000003461
disaggregated-process,4096,85,14.451518999997859
disaggregated-process,4096,86,14.265270000002772
disaggregated-process,4096,87,14.498089999996466
disaggregated-process,4096,88,15.418060000001788
disaggregated-process,4096,89,15.204298999996979
disaggregated-process,4096,90,14.554771000000244
disaggregated-process,4096,91,14.37705200000039
disaggregated-process,4096,92,14.41360500000144
disaggregated-process,4096,93,14.536509999999225
disaggregated-process,4096,94,14.506246000003387
disaggregated-process,4096,95,14.533936999995944
disaggregated-process,4096,96,14.375342000001012
disaggregated-process,4096,97,14.123533999999438
disaggregated-process,4096,98,14.158637000001306
disaggregated-process,4096,99,14.152782000003583
colocated,16384,0,15.942140999996468
colocated,16384,1,15.94413900001257
colocated,16384,2,14.893961999987937
colocated,16384,3,14.868034000002694
colocated,16384,4,14.448197999996637
colocated,16384,5,15.68840699999896
colocated,16384,6,14.977652000013109
colocated,16384,7,15.79134299998941
colocated,16384,8,14.56263300001126
colocated,16384,9,14.550647999996613
colocated,16384,10,14.602815999992913
colocated,16384,11,14.507292000004668
colocated,16384,12,14.667582000001289
colocated,16384,13,14.6116779999943
colocated,16384,14,14.563073000005033
colocated,16384,15,14.734398000001647
colocated,16384,16,16.400179999990883
colocated,16384,17,16.29391800000235
colocated,16384,18,18.209339000009095
colocated,16384,19,17.897791999999413
colocated,16384,20,577.6500599999963
colocated,16384,21,16.77957399999741
colocated,16384,22,16.194972999997503
colocated,16384,23,17.42575600000862
colocated,16384,24,17.182525999999143
colocated,16384,25,14.833404000000883
colocated,16384,26,14.682270999998082
colocated,16384,27,15.186021999994637
colocated,16384,28,15.655844999997726
colocated,16384,29,16.1246239999997
colocated,16384,30,16.6265460000119
colocated,16384,31,16.46373899998821
colocated,16384,32,16.589314000000854
colocated,16384,33,16.404876999999374
colocated,16384,34,15.835833000011235
colocated,16384,35,16.438326999988817
colocated,16384,36,15.765053999999168
colocated,16384,37,15.892894000003821
colocated,16384,38,15.493313000007447
colocated,16384,39,15.91400999998882
colocated,16384,40,16.035333000004925
colocated,16384,41,15.136209999994321
colocated,16384,42,14.545711000010897
colocated,16384,43,14.496084999990444
colocated,16384,44,14.208230999997795
colocated,16384,45,14.620152000006215
colocated,16384,46,14.694321000007449
colocated,16384,47,14.927125999989244
colocated,16384,48,14.96823000000802
colocated,16384,49,15.046971999993275
colocated,16384,50,15.182050999996477
colocated,16384,51,14.806452000001968
colocated,16384,52,15.41751800000668
colocated,16384,53,15.188522000002536
